"연월일","10대이하 남자","10대이하 여자","20대 남자","20대 여자","30대 남자","30대 여자","40대 남자","40대 여자","50대 남자","50대 여자","60대이상 남자","60대이상 여자"
"20180602","4","14","21","33","23","73","65","59","21","29","11","2"
"20180601","0","1","11","45","29","64","62","86","19","33","7","5"
"20180531","1","7","15","46","36","93","72","80","14","37","7","4"
"20180530","0","3","29","49","53","92","50","97","27","33","14","2"
"20180529","3","8","20","44","53","99","60","78","25","22","7","0"
"20180528","0","0","7","26","19","56","33","40","47","24","5","6"
"20180527","3","13","26","22","16","48","37","54","19","9","3","5"
"20180526","3","22","12","23","28","86","50","37","27","23","7","4"
"20180525","2","2","16","48","34","73","53","64","9","16","10","8"
"20180524","1","7","28","31","32","71","47","96","23","25","7","7"
"20180523","1","6","21","44","45","100","32","85","28","31","13","11"
"20180522","1","3","11","15","25","58","27","39","14","16","6","9"
"20180521","2","2","6","16","17","52","33","55","19","16","14","4"
"20180520","0","12","11","28","43","74","29","51","32","9","3","9"
"20180519","1","25","22","37","37","71","30","51","24","29","13","4"
"20180518","1","1","15","27","38","77","44","71","28","32","10","2"
"20180517","3","5","9","32","32","79","55","123","38","34","5","5"
"20180516","2","12","18","44","56","93","89","100","63","45","47","10"
"20180515","3","14","20","32","28","67","35","78","36","14","5","6"
"20180514","1","1","11","21","12","61","38","53","27","13","10","5"
"20180513","1","10","16","27","33","62","28","53","27","15","2","10"
"20180512","6","7","13","33","27","68","43","47","23","16","8","4"
"20180511","2","4","23","34","25","81","38","80","22","19","10","3"
"20180510","2","3","24","35","34","86","37","54","20","22","10","7"
"20180509","3","3","23","38","45","70","44","78","22","23","9","10"
"20180508","3","4","14","25","42","54","64","74","22","15","6","3"
"20180507","1","5","7","13","18","40","25","35","16","10","6","0"
"20180506","9","1","27","31","23","49","39","34","19","11","12","3"
"20180505","1","1","5","20","14","22","28","31","18","18","9","1"
"20180504","1","4","13","35","26","58","39","61","19","17","5","3"
"20180503","8","3","25","21","21","63","50","78","29","43","5","2"
"20180502","1","4","22","38","26","54","31","79","17","15","9","5"
"20180501","0","7","20","51","35","80","43","64","18","12","9","4"
"20180430","2","1","16","27","17","49","46","53","11","9","11","0"
"20180429","11","24","12","32","29","61","44","44","21","15","7","2"
"20180428","12","20","12","16","34","50","48","61","25","13","1","1"
"20180427","10","22","19","39","31","56","30","78","17","23","10","8"
"20180426","3","17","17","27","30","77","38","71","13","17","3","6"
"20180425","2","21","18","47","29","80","52","76","21","15","15","6"
"20180424","2","16","27","48","27","89","47","81","19","28","4","8"
"20180423","0","1","8","22","13","51","56","38","19","35","6","1"
"20180422","3","22","19","25","19","63","41","72","19","12","8","3"
"20180421","4","28","10","57","31","84","38","77","21","23","7","8"
"20180420","1","2","27","42","27","93","49","89","25","13","7","6"
"20180419","10","17","36","36","32","62","37","57","11","43","3","2"
"20180418","4","9","28","25","30","72","47","73","9","26","5","20"
"20180417","4","8","38","35","20","68","46","87","17","17","1","5"
"20180416","1","4","14","26","34","55","33","46","17","19","10","3"
"20180415","5","16","20","36","29","42","47","46","28","24","3","6"
"20180414","17","34","22","36","33","70","49","56","18","16","8","2"
"20180413","2","7","30","52","41","67","43","75","33","14","8","2"
"20180412","5","2","28","48","28","75","32","76","15","20","8","3"
"20180411","3","16","20","32","29","91","57","82","22","15","9","3"
"20180410","4","9","27","28","31","85","34","78","23","25","10","6"
"20180409","1","0","11","30","19","59","25","43","13","22","6","3"
"20180408","9","20","17","21","28","60","60","51","29","30","2","5"
"20180407","11","22","23","40","27","72","41","63","19","18","4","1"
"20180406","4","3","25","49","31","73","42","69","31","16","14","4"
"20180405","11","4","20","37","35","72","44","57","19","26","6","8"
"20180404","3","2","22","27","36","87","77","57","24","30","4","5"
"20180403","1","4","20","49","37","89","51","77","20","21","8","5"
"20180402","1","0","12","13","33","54","48","47","24","17","5","3"
"20180401","3","6","16","38","26","53","41","48","28","23","6","4"
"20180331","6","14","19","29","37","75","46","63","29","24","5","1"
"20180330","3","5","21","39","34","72","47","82","28","16","5","4"
"20180329","1","8","10","35","46","68","55","83","22","20","12","6"
"20180328","7","9","14","24","31","64","48","82","42","19","10","3"
"20180327","5","7","12","40","41","91","50","76","26","25","13","8"
"20180326","6","4","10","24","32","67","32","47","29","21","12","16"
"20180325","6","11","8","45","44","63","52","50","29","21","15","6"
"20180324","6","11","17","54","34","77","49","66","20","18","11","1"
"20180323","3","2","16","50","33","51","50","75","22","20","3","20"
"20180322","5","10","13","46","38","85","35","74","19","20","6","7"
"20180321","4","3","16","44","22","62","37","84","31","29","19","13"
"20180320","5","5","20","67","30","120","49","59","15","24","9","11"
"20180319","2","4","11","35","32","60","46","61","26","22","8","4"
"20180318","5","9","14","28","42","57","73","68","22","13","3","2"
"20180317","0","12","19","55","24","72","53","63","5","18","7","3"
"20180316","1","11","15","44","32","75","51","52","10","35","8","11"
"20180315","1","0","16","26","29","55","64","76","29","35","9","4"
"20180314","1","4","25","52","54","95","68","67","37","31","9","3"
"20180313","0","4","28","63","30","82","53","82","24","26","4","6"
"20180312","2","2","9","28","27","57","37","66","17","17","8","7"
"20180311","2","3","14","36","38","77","60","47","22","24","7","8"
"20180310","3","3","22","26","41","87","48","41","15","29","4","2"
"20180309","2","7","13","37","40","86","59","58","21","16","8","2"
"20180308","1","4","12","60","48","90","53","84","27","32","11","8"
"20180307","1","4","13","28","47","90","58","76","22","53","14","12"
"20180306","1","9","9","38","30","104","57","72","36","21","8","5"
"20180305","2","3","11","26","27","76","43","68","18","14","5","2"
"20180304","6","7","26","31","33","58","44","59","24","4","12","1"
"20180303","8","9","11","37","37","79","28","46","18","13","9","5"
"20180302","4","4","10","44","44","66","51","63","18","24","3","6"
"20180301","0","2","13","18","31","52","37","38","18","15","7","3"
"20180228","3","9","18","32","40","63","72","54","20","31","1","1"
"20180227","10","2","16","37","38","45","57","72","36","27","7","8"
"20180226","0","1","9","19","29","56","60","53","26","9","11","0"
"20180225","1","7","11","23","24","56","31","56","16","14","7","2"
"20180224","4","4","14","27","26","59","44","45","13","15","4","1"
"20180223","13","1","8","17","26","75","41","43","28","24","17","30"
"20180222","4","9","10","27","29","66","51","44","25","27","11","10"
"20180221","2","0","9","21","28","74","35","52","31","20","9","3"
"20180220","10","8","7","27","36","79","49","57","23","45","13","2"
"20180219","7","9","8","18","42","68","56","62","19","28","5","16"
"20180218","3","2","8","20","26","29","37","35","27","12","7","8"
"20180217","3","2","1","18","17","33","19","20","10","9","7","5"
"20180216","2","7","5","17","10","20","15","16","10","5","8","6"
"20180215","6","4","6","13","14","20","14","26","10","6","7","5"
"20180214","2","2","14","31","24","61","25","55","20","18","11","10"
"20180213","5","3","16","34","35","60","40","61","22","34","11","10"
"20180212","1","2","6","24","28","49","60","54","22","25","7","1"
"20180211","5","3","14","20","33","56","42","45","15","18","9","4"
"20180210","7","7","15","59","52","97","46","79","15","31","7","0"
"20180209","6","3","8","20","36","60","33","40","30","23","5","9"
"20180208","1","12","20","22","29","67","51","82","19","19","7","2"
"20180207","6","3","20","26","35","57","49","84","13","35","16","1"
"20180206","4","0","17","30","27","71","28","53","20","36","8","2"
"20180205","0","1","11","15","27","47","40","40","21","14","4","2"
"20180204","8","3","18","21","34","39","51","43","20","22","10","22"
"20180203","0","4","11","27","36","56","46","45","25","10","16","14"
"20180202","4","1","10","13","31","59","34","63","33","25","12","9"
"20180201","8","2","10","33","20","93","53","67","19","25","4","3"
"20180131","5","1","6","31","27","67","50","55","19","31","10","2"
"20180130","1","3","5","20","18","61","40","53","26","22","7","7"
"20180129","4","5","2","27","40","56","49","56","22","21","2","5"
"20180128","3","5","9","18","30","29","38","48","31","12","13","2"
"20180127","3","7","16","27","38","54","30","57","21","30","10","5"
"20180126","6","4","7","38","19","52","30","75","30","42","2","5"
"20180125","0","10","9","20","44","54","44","85","32","20","7","5"
"20180124","10","5","8","34","30","63","53","69","29","27","11","9"
"20180123","3","7","12","36","40","71","40","47","22","22","12","6"
"20180122","4","4","15","21","44","52","58","61","47","25","3","8"
"20180121","2","5","6","35","39","66","38","53","23","25","7","16"
"20180120","4","4","12","22","45","65","41","67","28","18","9","30"
"20180119","8","5","16","48","60","82","88","90","78","31","8","4"
"20180118","1","3","11","23","37","56","41","60","27","25","6","37"
"20180117","0","3","6","35","27","70","29","73","35","26","23","4"
"20180116","1","2","17","43","37","90","27","70","39","41","10","18"
"20180115","2","4","9","65","30","119","23","65","6","49","6","16"
"20180114","4","6","19","104","32","172","30","50","13","28","2","23"
"20180113","0","4","15","26","16","57","44","52","15","22","8","25"
"20180112","1","8","14","15","29","45","43","74","20","31","5","51"
"20180111","3","5","10","22","12","50","32","71","14","17","2","18"
"20180110","4","2","6","27","19","56","51","61","18","32","7","22"
"20180109","3","4","13","24","28","35","36","48","24","21","15","0"
"20180108","1","3","17","12","20","31","22","50","15","22","17","14"
"20180107","1","3","9","15","15","37","30","34","26","15","9","29"
"20180106","7","7","15","11","17","36","38","35","20","19","11","34"
"20180105","2","4","11","14","14","24","29","61","16","37","16","17"
"20180104","5","3","6","15","27","31","17","36","18","24","6","11"
"20180103","0","3","12","16","13","45","27","43","20","16","9","12"
"20180102","6","2","8","20","19","22","22","50","27","23","3","13"
"20180101","1","1","11","13","17","25","14","22","15","5","1","0"
"20171231","1","0","6","17","24","15","26","27","15","13","7","1"
"20171230","1","1","9","13","15","31","16","31","13","9","4","2"
"20171229","2","1","17","16","13","32","19","29","16","17","10","10"
"20171228","4","4","4","16","18","29","35","44","13","21","3","6"
"20171227","0","0","7","19","18","47","25","59","10","37","10","3"
"20171226","1","5","9","10","12","27","29","36","14","13","13","4"
"20171225","0","2","4","11","7","12","21","33","5","9","15","5"
"20171224","0","2","13","8","18","28","21","26","12","21","11","4"
"20171223","2","4","9","12","20","31","15","29","11","9","3","5"
"20171222","0","6","16","11","28","32","36","34","9","24","8","3"
"20171221","2","0","6","13","29","43","25","29","16","25","3","3"
"20171220","1","0","21","15","24","38","35","34","7","24","5","4"
"20171219","1","0","4","10","19","37","34","38","24","35","14","14"
"20171218","2","3","10","9","21","47","49","62","21","43","8","8"
"20171217","1","0","12","25","29","42","21","37","19","13","4","7"
"20171216","5","3","6","25","27","42","35","55","19","18","16","0"
"20171215","5","0","11","19","31","63","56","73","19","33","20","8"
"20171214","3","1","20","19","29","77","52","72","25","66","29","13"
"20171213","0","2","7","19","57","42","67","59","51","37","19","6"
"20171212","1","3","13","32","53","74","107","66","57","44","46","8"
"20171211","0","2","18","25","128","69","87","70","82","37","54","18"
"20171210","0","0","1","0","12","1","9","1","0","6","0","0"
"20171209","0","0","1","0","2","0","15","1","0","1","0","0"
"20171208","0","0","0","2","31","4","38","3","0","10","0","0"
"20171207","0","0","0","5","45","19","49","6","0","8","0","0"
"20171206","0","0","0","1","30","11","42","8","0","14","0","0"
"20171205","0","0","4","5","11","15","46","3","0","16","0","0"
"20171204","0","0","7","1","29","10","48","0","0","13","0","0"
"20171203","0","0","1","1","5","0","16","2","2","1","0","0"
"20171202","0","0","9","0","22","6","44","0","0","4","0","0"
"20171201","0","0","33","0","52","29","71","0","0","31","0","0"
"20171130","0","0","0","0","23","14","2","0","0","0","0","0"
"20171129","0","0","0","0","14","0","3","0","0","0","0","0"
"20171120","","","","","10","","","","","","",""
"20171117","","","","","1","","","","","","",""
"20171116","","","","","1","","","","","","",""
"20171115","","","","","3","","","","","","",""
"20171108","","","","","1","","","","","","",""
"20171103","","","","","3","1","","","","","",""
"20171102","","","","","2","1","","","","","",""
"20171101","","","","","5","7","","","","","",""
